iter	Passed	Remaining
0	147	147272
1	149	74451
2	154	51309
3	156	39084
4	159	31656
5	160	26637
6	162	23021
7	166	20652
8	168	18550
9	170	16852
10	172	15553
11	174	14377
12	177	13451
13	180	12684
14	182	11961
15	183	11302
16	185	10729
17	187	10220
18	188	9740
19	190	9337
20	192	8969
21	196	8722
22	198	8416
23	199	8127
24	201	7863
25	203	7632
26	205	7404
27	207	7215
28	210	7039
29	211	6852
30	213	6677
31	215	6530
32	217	6378
33	219	6235
34	221	6118
35	224	6024
36	226	5897
37	228	5775
38	229	5659
39	231	5548
40	232	5443
41	234	5353
42	237	5276
43	239	5204
44	241	5122
45	242	5036
46	244	4956
47	246	4880
48	247	4807
49	249	4745
50	251	4684
51	253	4622
52	256	4580
53	258	4520
54	260	4473
55	266	4486
56	267	4432
57	269	4381
58	271	4332
59	273	4283
60	276	4252
61	279	4232
62	283	4223
63	285	4181
64	287	4136
65	289	4092
66	291	4054
67	293	4024
68	295	3991
69	297	3953
70	300	3928
71	301	3890
72	304	3862
73	306	3829
74	309	3822
75	312	3796
76	313	3762
77	315	3729
78	317	3698
79	318	3665
80	320	3634
81	324	3629
82	326	3605
83	329	3589
84	331	3568
85	333	3544
86	336	3529
87	339	3514
88	341	3493
89	344	3478
90	346	3456
91	348	3440
92	350	3418
93	353	3408
94	355	3391
95	358	3372
96	360	3352
97	363	3347
98	370	3368
99	373	3363
100	375	3344
101	377	3322
102	379	3304
103	383	3301
104	385	3285
105	388	3279
106	390	3259
107	393	3247
108	397	3247
109	400	3238
110	401	3219
111	403	3201
112	405	3180
113	406	3161
114	408	3140
115	411	3134
116	413	3117
117	414	3101
118	417	3089
119	418	3071
120	420	3055
121	421	3036
122	423	3020
123	425	3008
124	427	2994
125	429	2982
126	431	2965
127	433	2954
128	435	2939
129	436	2923
130	440	2921
131	442	2909
132	444	2895
133	446	2884
134	448	2872
135	449	2858
136	451	2845
137	458	2861
138	460	2852
139	461	2837
140	463	2824
141	464	2808
142	466	2795
143	470	2798
144	472	2787
145	474	2774
146	476	2765
147	478	2752
148	480	2741
149	487	2763
150	489	2754
151	492	2746
152	494	2739
153	497	2732
154	500	2726
155	502	2717
156	504	2707
157	505	2696
158	507	2684
159	509	2672
160	510	2658
161	515	2664
162	516	2654
163	520	2654
164	523	2647
165	526	2646
166	530	2643
167	532	2635
168	534	2625
169	535	2615
170	537	2604
171	538	2593
172	540	2582
173	542	2577
174	545	2572
175	547	2562
176	550	2561
177	552	2551
178	555	2545
179	560	2552
180	562	2547
181	564	2538
182	567	2532
183	569	2525
184	571	2519
185	576	2524
186	581	2528
187	583	2521
188	587	2522
189	589	2514
190	592	2509
191	594	2500
192	596	2495
193	599	2489
194	603	2492
195	608	2495
196	610	2487
197	612	2481
198	615	2478
199	617	2471
200	621	2471
201	623	2463
202	628	2467
203	631	2465
204	634	2462
205	637	2457
206	639	2451
207	643	2450
208	648	2453
209	650	2445
210	652	2438
211	658	2449
212	663	2451
213	667	2450
214	669	2443
215	674	2446
216	677	2444
217	679	2438
218	681	2430
219	684	2428
220	689	2428
221	691	2423
222	694	2418
223	696	2411
224	698	2406
225	700	2398
226	705	2403
227	707	2396
228	709	2389
229	711	2382
230	713	2374
231	715	2367
232	721	2375
233	723	2367
234	725	2361
235	727	2353
236	729	2347
237	731	2341
238	734	2337
239	736	2331
240	738	2325
241	739	2317
242	741	2310
243	743	2303
244	745	2296
245	748	2293
246	750	2289
247	752	2283
248	754	2276
249	756	2270
250	759	2265
251	760	2258
252	763	2253
253	765	2249
254	767	2243
255	769	2236
256	771	2229
257	772	2222
258	774	2216
259	777	2211
260	779	2206
261	781	2201
262	784	2197
263	786	2191
264	788	2187
265	790	2181
266	794	2180
267	796	2175
268	798	2170
269	801	2166
270	803	2160
271	804	2153
272	810	2159
273	815	2160
274	825	2175
275	827	2171
276	830	2167
277	832	2161
278	834	2156
279	839	2158
280	844	2161
281	847	2157
282	850	2155
283	852	2149
284	857	2150
285	860	2147
286	863	2144
287	867	2144
288	869	2138
289	872	2135
290	874	2129
291	876	2124
292	878	2120
293	882	2118
294	884	2114
295	886	2108
296	888	2103
297	890	2097
298	892	2091
299	895	2090
300	898	2086
301	900	2081
302	902	2075
303	903	2069
304	905	2063
305	907	2057
306	909	2053
307	911	2048
308	913	2042
309	915	2036
310	916	2030
311	918	2024
312	920	2021
313	924	2018
314	926	2014
315	928	2009
316	930	2003
317	931	1998
318	933	1992
319	937	1992
320	939	1987
321	941	1982
322	942	1976
323	944	1970
324	946	1965
325	947	1959
326	949	1954
327	951	1949
328	953	1944
329	954	1938
330	957	1934
331	958	1929
332	961	1925
333	963	1921
334	965	1917
335	968	1913
336	970	1909
337	972	1903
338	973	1898
339	975	1893
340	977	1888
341	978	1883
342	980	1878
343	982	1874
344	984	1869
345	989	1870
346	994	1872
347	996	1867
348	998	1862
349	1000	1857
350	1002	1852
351	1003	1847
352	1005	1842
353	1006	1837
354	1008	1832
355	1010	1828
356	1013	1826
357	1015	1821
358	1017	1817
359	1020	1814
360	1033	1828
361	1039	1831
362	1044	1832
363	1047	1830
364	1051	1828
365	1059	1835
366	1062	1832
367	1065	1830
368	1067	1826
369	1069	1820
370	1072	1817
371	1075	1815
372	1079	1814
373	1083	1813
374	1092	1820
375	1095	1818
376	1098	1816
377	1102	1814
378	1105	1811
379	1108	1808
380	1114	1811
381	1121	1814
382	1124	1811
383	1128	1810
384	1135	1813
385	1137	1809
386	1139	1805
387	1142	1801
388	1145	1798
